Course Title,Rating,Provider,Level,Reviews,Type,Duration / Weeks
IT Fundamentals for Cybersecurity,4.6,IBM,Beginner,21000.0,Specialization,12 - 24
Intellectual Property Law,4.8,University of Pennsylvania,Intermediate,1300.0,Specialization,12 - 24
Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7,Google Cloud,Beginner,53000.0,Professional Certificate,12 - 24
AWS Cloud Technology Consultant,4.8,Amazon Web Services,Beginner,5500.0,Professional Certificate,12 - 24
Preparing for Google Cloud Certification: Machine Learning Engineer,4.5,Google Cloud,Intermediate,6800.0,Professional Certificate,12 - 24
"Assets, Threats, and Vulnerabilities",4.8,Google,Beginner,2600.0,Course,1 - 4
The Business of Health Care,4.6,University of Pennsylvania,Beginner,1800.0,Specialization,12 - 24
Data Analysis with R Programming,4.8,Google,Beginner,10000.0,Course,4 - 12
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9,DeepLearning.AI,Intermediate,63000.0,Course,1 - 4
Algorithms,4.8,Stanford University,Intermediate,5800.0,Specialization,12 - 24
Preparing for Google Cloud Certification: Cloud Network Engineer,4.7,Google Cloud,Intermediate,49000.0,Professional Certificate,12 - 24
Capstone: Applying Project Management in the Real World,4.8,Google,Beginner,8900.0,Course,1 - 4
"Python for Data Science, AI & Development",4.6,IBM,Beginner,37000.0,Course,4 - 12
The Science of Well-Being,4.9,Yale University,Mixed,38000.0,Course,4 - 12
Networking in Google Cloud,4.7,Google Cloud,Intermediate,49000.0,Specialization,12 - 24
AI for Medicine,4.7,DeepLearning.AI,Intermediate,2300.0,Specialization,4 - 12
AWS Cloud Support Associate,4.8,Amazon Web Services,Beginner,5400.0,Professional Certificate,12 - 24
Share Data Through the Art of Visualization,4.6,Google,Beginner,8800.0,Course,1 - 4
Think like a CFO,4.8,IESE Business School,Beginner,6000.0,Specialization,12 - 24
Crash Course on Python,4.8,Google,Beginner,37000.0,Course,4 - 12
Linear Algebra for Machine Learning and Data Science,4.5,DeepLearning.AI,Intermediate,1500.0,Course,1 - 4
Preparing for Google Cloud Certification: Cloud Data Engineer,4.6,Google Cloud,Intermediate,18000.0,Professional Certificate,12 - 24
Operating Systems and You: Becoming a Power User,4.7,Google,Beginner,28000.0,Course,4 - 12
From Likes to Leads: Interact with Customers Online,4.8,Google,Beginner,3000.0,Course,4 - 12
(ISC)² Systems Security Certified Practitioner (SSCP),4.7,ISC2,Beginner,669.0,Specialization,12 - 24
Security in Google Cloud,4.7,Google Cloud,Intermediate,49000.0,Specialization,12 - 24
Product Management Certification,4.7,SkillUp EdTech,Beginner,142.0,Specialization,12 - 24
Generative Adversarial Networks (GANs),4.7,DeepLearning.AI,Intermediate,2300.0,Specialization,4 - 12
Developing Applications with Google Cloud,4.7,Google Cloud,Intermediate,49000.0,Specialization,12 - 24
AI Infrastructure and Operations Fundamentals,4.6,NVIDIA,Beginner,155.0,Course,1 - 4
Google Cloud Digital Leader Training,4.8,Google Cloud,Beginner,4200.0,Professional Certificate,12 - 24
DevOps on AWS,4.8,Amazon Web Services,Intermediate,5400.0,Specialization,4 - 12
Human Resource Management: HR for People Managers,4.8,University of Minnesota,Beginner,14000.0,Specialization,12 - 24
Financial Engineering and Risk Management,4.5,Columbia University,Intermediate,280.0,Specialization,12 - 24
Machine Learning in Production,4.8,DeepLearning.AI,Intermediate,3000.0,Course,1 - 4
Agile Development,4.7,University of Virginia,Beginner,4600.0,Specialization,12 - 24
"Data Engineering, Big Data, and Machine Learning on GCP",4.6,Google Cloud,Intermediate,18000.0,Specialization,12 - 24
"TESOL Certificate, Part 2: Teach English Now!",4.9,Arizona State University,Beginner,4000.0,Specialization,12 - 24
Python 3 Programming,4.8,University of Michigan,Beginner,22000.0,Specialization,12 - 24
Reinforcement Learning,4.7,University of Alberta,Intermediate,3400.0,Specialization,12 - 24
Stanford Introduction to Food and Health,4.7,Stanford University,Beginner,32000.0,Course,4 - 12
Risk Management,4.6,New York Institute of Finance,Beginner,956.0,Specialization,12 - 24
IBM Machine Learning,4.6,IBM,Intermediate,2400.0,Professional Certificate,12 - 24
Entrepreneurship: Growing Your Business,4.8,University of Virginia,Beginner,7300.0,Specialization,12 - 24
Sound the Alarm: Detection and Response,4.8,Google,Beginner,2100.0,Course,1 - 4
Programming for Everybody (Getting Started with Python),4.8,University of Michigan,Beginner,228000.0,Course,4 - 12
Bookkeeping Basics,4.6,Intuit,Beginner,5100.0,Course,1 - 4
Microsoft UX Design,4.6,Microsoft,Beginner,62.0,Professional Certificate,12 - 24
Leadership Skills,4.8,IIMA - IIM Ahmedabad,Beginner,1400.0,Course,4 - 12
Google Data Analytics Capstone: Complete a Case Study,4.8,Google,Beginner,15000.0,Course,1 - 4
Mergers and Acquisitions,4.6,University of Illinois Urbana-Champaign,Intermediate,352.0,Specialization,12 - 24
Google Professional Workspace Administrator,4.7,Google Cloud,Beginner,3000.0,Professional Certificate,1 - 4
Introduction to Cosmetic Science and Ingredients,4.6,Olay,Beginner,142.0,Specialization,12 - 24
Successful Negotiation: Essential Strategies and Skills,4.8,University of Michigan,Beginner,19000.0,Course,4 - 12
Genomic Data Science,4.5,Johns Hopkins University,Intermediate,6300.0,Specialization,12 - 24
Algorithms for Battery Management Systems,4.7,University of Colorado Boulder,Intermediate,2500.0,Specialization,12 - 24
Automate Cybersecurity Tasks with Python,4.7,Google,Beginner,2100.0,Course,1 - 4
Cybersecurity Fundamentals,4.8,IBM,Beginner,718.0,Specialization,12 - 24
Introduction to Healthcare,4.8,Stanford University,Beginner,975.0,Course,4 - 12
Introduction to Financial Accounting,4.7,University of Pennsylvania,Mixed,8100.0,Course,1 - 4
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.9,Yale University,Mixed,4900.0,Course,4 - 12
"Influencing: Storytelling, Change Management and Governance",4.8,Macquarie University,Beginner,3900.0,Specialization,12 - 24
 System Administration and IT Infrastructure Services,4.7,Google,Beginner,25000.0,Course,4 - 12
Private Equity and Venture Capital,4.8,Università Bocconi,Mixed,8200.0,Course,4 - 12
Organizational Analysis ,4.6,Stanford University,Beginner,1500.0,Course,4 - 12
IBM Introduction to Machine Learning,4.6,IBM,Intermediate,2300.0,Specialization,12 - 24
Fundamentals of Project Planning and Management,4.7,University of Virginia,Beginner,10000.0,Course,1 - 4
Modern Project Management Certificate,4.6,SkillUp EdTech,Beginner,393.0,Specialization,12 - 24
Build Wireframes and Low-Fidelity Prototypes,4.9,Google,Beginner,8700.0,Course,1 - 4
"Product Ideation, Design, and Management",4.5,"University of Maryland, College Park",Beginner,590.0,Specialization,12 - 24
Data Science,4.5,Johns Hopkins University,Beginner,51000.0,Specialization,12 - 24
Career Success,4.6,"University of California, Irvine",Beginner,42000.0,Specialization,12 - 24
Convolutional Neural Networks,4.9,DeepLearning.AI,Intermediate,42000.0,Course,1 - 4
Sequence Models,4.8,DeepLearning.AI,Intermediate,30000.0,Course,1 - 4
Global Procurement and Sourcing,4.7,Rutgers the State University of New Jersey,Beginner,2100.0,Specialization,12 - 24
Think Outside the Inbox: Email Marketing,4.8,Google,Beginner,2100.0,Course,4 - 12
AI for Good,4.8,DeepLearning.AI,Beginner,258.0,Specialization,4 - 12
Structuring Machine Learning Projects,4.8,DeepLearning.AI,Beginner,50000.0,Course,1 - 4
Preparing  Data for Analysis with Microsoft Excel,4.7,Microsoft,Beginner,2700.0,Course,1 - 4
Psychological First Aid,4.8,Johns Hopkins University,Mixed,19000.0,Course,4 - 12
Introduction to Social Media Marketing,4.8,Meta,Beginner,14000.0,Course,4 - 12
 IT Security: Defense against the digital dark arts ,4.8,Google,Beginner,23000.0,Course,4 - 12
"JavaScript Programming with React, Node & MongoDB",4.4,IBM,Beginner,895.0,Specialization,12 - 24
Introduction to Generative AI ,4.7,Google Cloud,Beginner,5100.0,Course,1 - 4
Foundations of Data Science,4.7,Google,Advanced,2200.0,Course,4 - 12
Leading People and Teams,4.7,University of Michigan,Beginner,11000.0,Specialization,12 - 24
Medical Terminology,4.9,Rice University,Beginner,597.0,Specialization,12 - 24
Six Sigma Yellow Belt,4.6,Kennesaw State University,Beginner,9300.0,Specialization,12 - 24
"Brand Management: Aligning Business, Brand and Behaviour",4.9,University of London,Beginner,7200.0,Course,4 - 12
Financial Analysis - Skills for Success,4.7,University of Illinois Urbana-Champaign,Beginner,301.0,Specialization,4 - 12
CompTIA a+ Cyber,4.5,CompTIA,Beginner,45.0,Course,4 - 12
TensorFlow: Advanced Techniques,4.8,DeepLearning.AI,Intermediate,1500.0,Specialization,12 - 24
Game Theory,4.6,Stanford University,Beginner,4600.0,Course,4 - 12
Fundamentals of Quantitative Modeling,4.6,University of Pennsylvania,Mixed,8900.0,Course,1 - 4
AI Fundamentals for Non-Data Scientists,4.8,University of Pennsylvania,Mixed,440.0,Course,4 - 12
AI Product Management,4.7,Duke University,Beginner,593.0,Specialization,12 - 24
Project Management,4.7,University of Colorado Boulder,Beginner,795.0,Specialization,4 - 12
ADP Entry-Level Payroll Specialist,4.7,"Automatic Data Processing, Inc. (ADP)",Beginner,55.0,Professional Certificate,12 - 24
Put It to Work: Prepare for Cybersecurity Jobs,4.8,Google,Beginner,3000.0,Course,4 - 12
Data Science: Foundations using R,4.6,Johns Hopkins University,Beginner,48000.0,Specialization,12 - 24
Mathematics for Machine Learning,4.6,Imperial College London,Beginner,14000.0,Specialization,12 - 24
Cybersecurity for Everyone,4.7,"University of Maryland, College Park",Beginner,1900.0,Course,4 - 12
Modern and Contemporary Art and Design,4.8,The Museum of Modern Art,Beginner,14000.0,Specialization,12 - 24
Strategic Leadership and Management,4.8,University of Illinois Urbana-Champaign,Beginner,9200.0,Specialization,12 - 24
OKR Certification: Leadership and Goal Setting,4.9,Measure What Matters,Beginner,475.0,Course,1 - 4
Connected Leadership,4.8,Yale University,Beginner,481.0,Course,4 - 12
Vertex AI Search for Retail,4.6,Google Cloud,Beginner,16000.0,Specialization,12 - 24
Assess for Success: Marketing Analytics and Measurement,4.6,Google,Beginner,1600.0,Course,1 - 4
Machine Learning on Google Cloud,4.5,Google Cloud,Intermediate,9600.0,Specialization,12 - 24
Management of Fashion and Luxury Companies,4.7,Università Bocconi,Mixed,5800.0,Course,4 - 12
Meta Marketing Science Certification Prep,4.8,Meta,Intermediate,2300.0,Specialization,12 - 24
Prompt Engineering for ChatGPT,4.8,Vanderbilt University,Beginner,3500.0,Course,4 - 12
Conduct UX Research and Test Early Concepts,4.8,Google,Beginner,5300.0,Course,1 - 4
Artificial Intelligence in Marketing,4.6,University of Virginia,Beginner,216.0,Course,1 - 4
Microsoft Azure Data Engineering Associate (DP-203),4.3,Microsoft,Intermediate,1100.0,Professional Certificate,12 - 24
English for Career Development,4.8,University of Pennsylvania,Mixed,15000.0,Course,4 - 12
Methods and Statistics in Social Sciences,4.6,University of Amsterdam,Beginner,7400.0,Specialization,12 - 24
Introduction to Data Analytics,4.8,IBM,Beginner,16000.0,Course,4 - 12
The Strategy of Content Marketing,4.5,"University of California, Davis",Intermediate,4600.0,Course,4 - 12
Foundations of Business Intelligence,4.7,Google,Advanced,1300.0,Course,1 - 4
UI / UX Design,4.7,California Institute of the Arts,Beginner,7500.0,Specialization,12 - 24
Viral Marketing and How to Craft Contagious Content,4.8,University of Pennsylvania,Mixed,5200.0,Course,1 - 4
Introduction to Marketing,4.8,University of Pennsylvania,Mixed,13000.0,Course,4 - 12
Applied Data Science with Python,4.5,University of Michigan,Intermediate,34000.0,Specialization,12 - 24
Management Consulting,4.8,Emory University,Beginner,1100.0,Specialization,12 - 24
Generative AI for Educators & Teachers,4.8,Vanderbilt University,Beginner,756.0,Specialization,4 - 12
Drug Development Product Management,4.6,University of California San Diego,Beginner,6000.0,Specialization,12 - 24
Creative Writing,4.6,Wesleyan University,Beginner,6000.0,Specialization,12 - 24
Principles of Management,4.7,Johns Hopkins University,Mixed,350.0,Course,1 - 4
Introduction to Large Language Models,4.4,Google Cloud,Beginner,569.0,Course,1 - 4
Business Data Management and Communication,4.7,University of Illinois Urbana-Champaign,Intermediate,5900.0,Specialization,12 - 24
Create High-Fidelity Designs and Prototypes in Figma,4.8,Google,Beginner,4100.0,Course,4 - 12
Introduction to Discrete Mathematics for Computer Science,4.5,University of California San Diego,Beginner,3500.0,Specialization,12 - 24
